Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.90
Upper Discriminator:	1054
Lower Discriminator:	11
Calibration Coefficients:	-2.2719999999999985	1.008
Calibration Channels:	195	319
Calibration Energies:	511.0	835.0
Elapsed Real Time:	318.23
Elapsed Live Time:	286.03
Start Time:	February 17, 2015, 03:10:03
End Time:	February 17, 2015, 03:15:22
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-2.2719999999999985	0
1	-1.2639999999999985	1
2	-0.25599999999999845	0
3	0.7520000000000016	0
4	1.7600000000000016	2
5	2.7680000000000016	12
6	3.7760000000000016	23
7	4.784000000000002	53
8	5.792000000000002	64
9	6.800000000000001	82
10	7.808000000000002	92
11	8.816000000000003	96
12	9.824000000000002	116
13	10.832	154
14	11.840000000000002	263
15	12.848000000000003	2995
16	13.856000000000002	4013
17	14.864	4502
18	15.872	4684
19	16.880000000000003	5075
20	17.888	5968
21	18.896	7070
22	19.904000000000003	9391
23	20.912000000000003	14050
24	21.92	22032
25	22.928	35208
26	23.936	53931
27	24.944000000000003	78532
28	25.952	103764
29	26.96	126090
30	27.968000000000004	136828
31	28.976000000000003	135383
32	29.984	122777
33	30.992000000000004	103264
34	32.0	81764
35	33.008	62627
36	34.016	45430
37	35.024	33534
38	36.032000000000004	23770
39	37.04	16984
40	38.048	12038
41	39.056000000000004	8671
42	40.064	6512
43	41.072	5335
44	42.080000000000005	4545
45	43.088	4345
46	44.096000000000004	4473
47	45.104	4629
48	46.112	4892
49	47.120000000000005	5333
50	48.128	5526
51	49.136	5913
52	50.144	6122
53	51.152	6048
54	52.160000000000004	6402
55	53.168	6356
56	54.176	6335
57	55.184000000000005	6337
58	56.192	6212
59	57.2	6230
60	58.208000000000006	6505
61	59.216	6554
62	60.224000000000004	7010
63	61.232	7394
64	62.24	8107
65	63.248	8428
66	64.256	8911
67	65.26400000000001	9236
68	66.27199999999999	9460
69	67.28	9791
70	68.28800000000001	9852
71	69.29599999999999	10116
72	70.304	10466
73	71.31200000000001	10977
74	72.32	11705
75	73.328	12966
