Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.90
Upper Discriminator:	1054
Lower Discriminator:	11
Calibration Coefficients:	-2.2719999999999985	1.008
Calibration Channels:	195	319
Calibration Energies:	511.0	835.0
Elapsed Real Time:	284.68
Elapsed Live Time:	255.05
Start Time:	February 17, 2015, 03:16:56
End Time:	February 17, 2015, 03:21:41
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-2.2719999999999985	0
1	-1.2639999999999985	0
2	-0.25599999999999845	0
3	0.7520000000000016	0
4	1.7600000000000016	0
5	2.7680000000000016	8
6	3.7760000000000016	35
7	4.784000000000002	57
8	5.792000000000002	95
9	6.800000000000001	114
10	7.808000000000002	109
11	8.816000000000003	126
12	9.824000000000002	106
13	10.832	147
14	11.840000000000002	215
15	12.848000000000003	1078
16	13.856000000000002	1292
17	14.864	1203
18	15.872	1157
19	16.880000000000003	1330
20	17.888	1307
21	18.896	1409
22	19.904000000000003	1442
23	20.912000000000003	1542
24	21.92	1573
25	22.928	1665
26	23.936	1673
27	24.944000000000003	1840
28	25.952	1777
29	26.96	1901
30	27.968000000000004	1873
31	28.976000000000003	1899
32	29.984	1957
33	30.992000000000004	2042
34	32.0	2039
35	33.008	2224
36	34.016	2052
37	35.024	2255
38	36.032000000000004	2316
39	37.04	2389
40	38.048	2465
41	39.056000000000004	2681
42	40.064	2888
43	41.072	3154
44	42.080000000000005	3671
45	43.088	4419
46	44.096000000000004	5371
47	45.104	6748
48	46.112	8595
49	47.120000000000005	11086
50	48.128	14345
51	49.136	18798
52	50.144	23536
53	51.152	28970
54	52.160000000000004	35086
55	53.168	41240
56	54.176	47450
57	55.184000000000005	53217
58	56.192	57723
59	57.2	61603
60	58.208000000000006	63502
61	59.216	64068
62	60.224000000000004	63174
63	61.232	60859
64	62.24	56588
65	63.248	52319
66	64.256	47412
67	65.26400000000001	42340
68	66.27199999999999	37011
69	67.28	32131
70	68.28800000000001	27622
71	69.29599999999999	22838
72	70.304	19945
73	71.31200000000001	16665
74	72.32	13886
75	73.328	11848
