Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.40
Upper Discriminator:	2861
Lower Discriminator:	53
Calibration Coefficients:	1.8603266733655454E-4	2.5180265654667426	18.091342039745996
Calibration Channels:	193	317	482
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	327082.37
Elapsed Live Time:	327068.92
Start Time:	February 12, 2015, 04:21:46
End Time:	February 16, 2015, 11:13:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	768	1008	12929	1601	4	2361

Channel Data:
Channel	Energy	Counts
0	18.091342039745996	0
1	20.609554637880073	0
2	23.128139301348828	0
3	25.64709603015225	0
4	28.166424824290353	0
5	30.686125683763123	0
6	33.20619860857057	0
7	35.726643598712684	0
8	38.24746065418948	0
9	40.76864977500094	0
10	43.29021096114708	0
11	45.812144212627885	0
12	48.334449529443376	0
13	50.857126911593525	0
14	53.38017635907836	4
15	55.903597871897865	3878
16	58.427391450052035	5902
17	60.951557093540885	5939
18	63.4760948023644	6119
19	66.0010045765226	6342
20	68.52628641601547	6919
21	71.05194032084302	7760
22	73.57796629100523	8552
23	76.10436432650212	9618
24	78.63113442733368	11193
25	81.1582765934999	13154
26	83.68579082500081	14854
27	86.21367712183638	16997
28	88.74193548400666	17928
29	91.27056591151158	17758
30	93.79956840435118	16145
31	96.32894296252545	13725
32	98.85868958603439	11972
33	101.388808274878	10911
34	103.9192990290563	9692
35	106.45016184856927	8715
36	108.9813967334169	7955
37	111.51300368359922	7158
38	114.0449826991162	6484
39	116.57733377996786	6329
40	119.11005692615419	6111
41	121.64315213767519	6021
42	124.17661941453086	5894
43	126.71045875672121	5974
44	129.24467016424626	5687
45	131.77925363710594	5966
46	134.3142091753003	5889
47	136.84953677882936	5890
48	139.38523644769305	6021
49	141.92130818189145	5991
50	144.4577519814245	5952
51	146.99456784629226	5936
52	149.53175577649466	5909
53	152.06931577203173	5839
54	154.60724783290348	5750
55	157.14555195910992	5861
56	159.68422815065102	5619
57	162.22327640752678	5549
58	164.76269672973726	5612
59	167.30248911728236	5485
60	169.84265357016216	5398
61	172.3831900883766	5383
62	174.92409867192575	5422
63	177.46537932080955	5266
64	180.00703203502806	5344
65	182.54905681458123	5301
66	185.09145365946904	5316
67	187.63422256969156	5383
68	190.1773635452487	5418
69	192.72087658614058	5344
70	195.26476169236707	5279
71	197.8090188639283	5397
72	200.35364810082416	5242
73	202.89864940305472	5213
74	205.44402277061994	5282
75	207.98976820351982	5209
76	210.53588570175438	5162
77	213.0823752653236	5080
78	215.62923689422752	5023
79	218.1764705884661	5014
80	220.72407634803935	5064
81	223.2720541729473	5036
82	225.82040406318987	5203
83	228.36912601876716	5220
84	230.9182200396791	5285
85	233.46768612592572	5345
86	236.01752427750702	5695
87	238.56773449442298	5751
88	241.11831677667365	5928
89	243.66927112425893	6209
90	246.22059753717895	6300
91	248.77229601543357	6379
92	251.32436655902293	6195
93	253.8768091679469	6050
94	256.4296238422056	5727
95	258.98281058179896	5517
96	261.53636938672696	5343
97	264.0903002569897	4994
98	266.64460319258706	4606
99	269.1992781935191	4391
100	271.7543252597858	4207
101	274.3097443913872	4061
102	276.86553558832327	3968
103	279.42169885059394	3821
104	281.9782341781994	3926
105	284.5351415711395	3885
106	287.09242102941425	3806
107	289.6500725530237	3912
108	292.20809614196776	3737
109	294.76649179624656	3873
110	297.32525951586	3884
111	299.8843993008081	3783
112	302.44391115109096	3786
113	305.00379506670834	3842
114	307.56405104766054	3778
115	310.12467909394735	3676
116	312.6856792055688	3752
117	315.24705138252494	3615
118	317.8087956248158	3563
119	320.37091193244135	3519
120	322.9334003054015	3468
121	325.4962607436964	3234
122	328.05949324732586	3287
123	330.62309781629006	3429
124	333.18707445058897	3296
125	335.75142315022254	3414
126	338.3161439151907	3388
127	340.8812367454936	3420
128	343.44670164113114	3350
129	346.0125386021034	3459
130	348.5787476284103	3423
131	351.14532872005185	3612
132	353.71228187702815	3607
133	356.2796070993391	3594
134	358.8473043869847	3471
135	361.41537373996493	3493
136	363.98381515827987	3368
137	366.5526286419295	3196
138	369.1218141909138	3045
139	371.6913718052328	3019
140	374.2613014848864	2826
141	376.83160322987476	2679
142	379.40227704019776	2618
143	381.9733229158554	2477
144	384.5447408568477	2431
145	387.1165308631747	2362
146	389.6886929348364	2226
147	392.26122707183276	2198
148	394.83413327416383	2108
149	397.40741154182945	2056
150	399.98106187482983	2008
151	402.55508427316494	1973
152	405.12947873683464	2051
153	407.70424526583906	1949
154	410.2793838601781	2008
155	412.8548945198518	2004
156	415.4307772448602	1957
157	418.00703203520334	1993
158	420.58365889088105	1866
159	423.1606578118935	1868
160	425.73802879824063	1848
161	428.3157718499224	1872
162	430.89388696693885	1893
163	433.4723741492899	1890
164	436.05123339697576	1841
165	438.63046470999626	1862
166	441.21006808835136	1818
167	443.7900435320412	1778
168	446.37039104106566	1792
169	448.95111061542485	1870
170	451.5322022551187	1749
171	454.1136659601472	1715
172	456.69550173051033	1799
173	459.2777095662082	1765
174	461.86028946724076	1801
175	464.44324143360797	1775
176	467.02656546530983	1798
177	469.61026156234635	1844
178	472.1943297247176	1822
179	474.7787699524235	1832
180	477.36358224546404	1819
181	479.94876660383926	1882
182	482.5343230275492	1857
183	485.1202515165938	1834
184	487.70655207097303	1828
185	490.293224690687	1812
186	492.88026937573557	1763
187	495.46768612611885	1836
188	498.0554749418368	1765
189	500.64363582288945	1845
190	503.2321687692767	1778
191	505.8210737809987	1833
192	508.4103508580553	1731
193	511.0000000004467	1780
194	513.5900212081726	1692
195	516.1804144812334	1729
196	518.7711798196286	1776
197	521.3623172233587	1779
198	523.9538266924233	1729
199	526.5457082268226	1643
200	529.1379618265566	1701
201	531.7305874916254	1627
202	534.3235852220288	1656
203	536.9169550177669	1676
204	539.5106968788396	1574
205	542.104810805247	1526
206	544.699296796989	1556
207	547.2941548540657	1525
208	549.8893849764771	1512
209	552.4849871642233	1453
210	555.080961417304	1563
211	557.6773077357194	1571
212	560.2740261194696	1588
213	562.8711165685543	1589
214	565.4685790829739	1573
215	568.0664136627279	1622
216	570.6646203078167	1596
217	573.2631990182402	1638
218	575.8621497939982	1698
219	578.4614726350911	1612
220	581.0611675415187	1726
221	583.6612345132808	1647
222	586.2616735503776	1672
223	588.8624846528091	1700
224	591.4636678205753	1733
225	594.0652230536762	1685
226	596.6671503521117	1735
227	599.2694497158819	1680
228	601.8721211449867	1719
229	604.4751646394262	1670
230	607.0785801992006	1687
231	609.6823678243094	1682
232	612.2865275147531	1665
233	614.8910592705313	1639
234	617.4959630916441	1688
235	620.1012389780917	1595
236	622.706886929874	1601
237	625.312906946991	1521
238	627.9192990294425	1384
239	630.5260631772288	1473
240	633.1331993903498	1364
241	635.7407076688054	1377
242	638.3485880125958	1355
243	640.9568404217207	1324
244	643.5654648961803	1288
245	646.1744614359746	1200
246	648.7838300411036	1196
247	651.3935707115672	1154
248	654.0036834473657	1175
249	656.6141682484986	1184
250	659.2250251149663	1089
251	661.8362540467687	1100
252	664.4478550439056	1076
253	667.0598281063774	1097
