Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	16
Fine Gain:	1.89
Upper Discriminator:	1042
Lower Discriminator:	12
Calibration Coefficients:	-1.892405063291136	0.9968354430379747
Calibration Channels:	195	319
Calibration Energies:	511.0	835.0
Elapsed Real Time:	299.55
Elapsed Live Time:	282.59
Start Time:	February 17, 2015, 02:49:08
End Time:	February 17, 2015, 02:54:08
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-1.892405063291136	0
1	-0.8955696202531613	0
2	0.10126582278481333	0
3	1.098101265822788	0
4	2.0949367088607627	0
5	3.0917721518987378	0
6	4.088607594936712	0
7	5.085443037974686	0
8	6.082278481012661	1
9	7.079113924050636	2
10	8.075949367088612	5
11	9.072784810126585	3
12	10.06962025316456	3
13	11.066455696202535	4
14	12.063291139240508	6
15	13.060126582278484	144
16	14.056962025316459	182
17	15.053797468354432	188
18	16.05063291139241	186
19	17.047468354430382	166
20	18.04430379746836	165
21	19.041139240506332	166
22	20.037974683544306	157
23	21.034810126582283	183
24	22.031645569620256	145
25	23.02848101265823	152
26	24.025316455696206	161
27	25.02215189873418	154
28	26.018987341772153	163
29	27.01582278481013	174
30	28.012658227848103	178
31	29.00949367088608	168
32	30.006329113924053	165
33	31.003164556962027	156
34	32.0	163
35	32.99683544303798	181
36	33.993670886075954	167
37	34.99050632911393	213
38	35.9873417721519	188
39	36.984177215189874	191
40	37.981012658227854	186
41	38.97784810126583	173
42	39.9746835443038	220
43	40.971518987341774	259
44	41.96835443037975	227
45	42.96518987341772	210
46	43.9620253164557	243
47	44.958860759493675	254
48	45.95569620253165	239
49	46.95253164556962	277
50	47.949367088607595	278
51	48.946202531645575	308
52	49.94303797468355	320
53	50.93987341772152	334
54	51.936708860759495	333
55	52.93354430379747	340
56	53.93037974683544	321
57	54.92721518987342	328
58	55.924050632911396	374
59	56.92088607594937	309
60	57.91772151898734	303
61	58.914556962025316	300
62	59.911392405063296	290
63	60.90822784810127	287
64	61.90506329113924	263
65	62.90189873417722	230
66	63.89873417721519	254
67	64.89556962025317	266
68	65.89240506329114	216
69	66.88924050632912	184
70	67.8860759493671	197
71	68.88291139240506	178
72	69.87974683544304	182
73	70.87658227848101	175
74	71.87341772151899	170
75	72.87025316455697	179
76	73.86708860759494	163
77	74.86392405063292	153
78	75.86075949367088	158
79	76.85759493670886	154
80	77.85443037974684	158
81	78.85126582278481	142
82	79.84810126582279	162
83	80.84493670886076	169
84	81.84177215189874	162
85	82.8386075949367	167
86	83.83544303797468	169
87	84.83227848101266	158
88	85.82911392405063	169
89	86.82594936708861	160
90	87.82278481012658	172
91	88.81962025316456	149
92	89.81645569620254	192
93	90.8132911392405	176
94	91.81012658227849	197
95	92.80696202531645	163
96	93.80379746835443	185
97	94.80063291139241	174
98	95.79746835443038	185
99	96.79430379746836	182
100	97.79113924050633	191
101	98.7879746835443	173
102	99.78481012658229	189
103	100.78164556962025	210
104	101.77848101265823	183
105	102.7753164556962	207
106	103.77215189873418	224
107	104.76898734177216	217
108	105.76582278481013	202
109	106.7626582278481	215
110	107.75949367088607	199
111	108.75632911392405	252
112	109.75316455696202	231
113	110.75	240
114	111.74683544303798	246
115	112.74367088607595	259
116	113.74050632911393	266
117	114.7373417721519	250
118	115.73417721518987	254
