Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.50
Upper Discriminator:	2035
Lower Discriminator:	111
Calibration Coefficients:	0.0013449595948590986	4.182756716345016	52.51582205954914
Calibration Channels:	106	177	269
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	201.73
Elapsed Live Time:	198.72
Start Time:	February 10, 2015, 03:10:01
End Time:	February 10, 2015, 03:13:22
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	52.51582205954914	0
1	56.69992373548901	0
2	60.88671533061861	0
3	65.07619684493791	0
4	69.26836827844694	1
5	73.4632296311457	0
6	77.66078090303417	0
7	81.86102209411234	1
8	86.06395320438025	0
9	90.26957423383786	1
10	94.47788518248521	0
11	98.68888605032225	1
12	102.90257683734905	1
13	107.11895754356553	3
14	111.33802816897173	24
15	115.55978871356767	2258
16	119.78423917735331	2465
17	124.01137956032868	1808
18	128.24120986249378	1483
19	132.47373008384858	1232
20	136.70894022439307	1187
21	140.94684028412735	1238
22	145.18743026305128	1181
23	149.43071016116494	1294
24	153.67667997846837	1208
25	157.92533971496147	1315
26	162.17668937064428	1298
27	166.43072894551682	1291
28	170.68745843957913	1356
29	174.9468778528311	1374
30	179.2089871852728	1422
31	183.47378643690422	1396
32	187.74127560772536	1393
33	192.0114546977362	1375
34	196.2843237069368	1374
35	200.55988263532709	1397
36	204.8381314829071	1413
37	209.11907024967684	1468
38	213.4026989356363	1491
39	217.68901754078541	1567
40	221.9780260651243	1527
41	226.26972450865293	1575
42	230.56411287137126	1671
43	234.86119115327926	1708
44	239.16095935437704	1742
45	243.46341747466454	1709
46	247.7685655141417	1812
47	252.07640347280864	1840
48	256.3869313506653	1823
49	260.7001491477116	1900
50	265.01605686394765	1900
51	269.33465449937347	1948
52	273.65594205398895	1947
53	277.97991952779415	1983
54	282.30658692078913	2048
55	286.63594423297377	1997
56	290.96799146434813	1977
57	295.30272861491227	1951
58	299.64015568466607	1960
59	303.9802726736096	2006
60	308.32307958174283	1896
61	312.6685764090658	1922
62	317.0167631555785	1854
63	321.3676398212809	1817
64	325.721206406173	1879
65	330.07746291025484	1815
66	334.4364093335264	1736
67	338.7980456759877	1642
68	343.1623719376386	1605
69	347.52938811847935	1632
70	351.8990942185098	1491
71	356.27149023772995	1503
72	360.64657617613983	1471
73	365.02435203373943	1440
74	369.4048178105287	1395
75	373.78797350650774	1368
76	378.17381912167644	1335
77	382.5623546560349	1262
78	386.9535801095831	1250
79	391.347495482321	1254
80	395.7441007742486	1244
81	400.14339598536594	1123
82	404.54538111567297	1138
83	408.9500561651697	1220
84	413.3574211338563	1057
85	417.7674760217325	1098
86	422.1802208287984	1032
87	426.595655555054	1049
88	431.01378020049935	1062
89	435.4345947651344	992
90	439.8580992489592	1080
91	444.2842936519737	937
92	448.71317797417794	971
93	453.1447522155719	972
94	457.57901637615555	1023
95	462.01597045592894	906
96	466.4556144548921	943
97	470.8979483730449	970
98	475.3429722103875	973
99	479.79068596691974	944
100	484.24108964264167	922
101	488.6941832375534	897
102	493.1499667516548	917
103	497.6084401849459	911
104	502.06960353742676	919
105	506.53345680909734	942
106	510.9999999999576	958
107	515.4692331100076	880
108	519.9411561392474	922
109	524.4157690876768	896
110	528.893071955296	852
111	533.3730647421048	889
112	537.8557474481034	807
113	542.3411200732918	869
114	546.8291826176697	830
115	551.3199350812375	790
116	555.813377463995	800
117	560.3095097659422	793
118	564.8083319870791	767
119	569.3098441274057	797
120	573.814046186922	809
121	578.320938165628	753
122	582.8305200635239	704
123	587.3427918806094	757
124	591.8577536168846	776
125	596.3754052723496	756
126	600.8957468470041	779
127	605.4187783408485	804
128	609.9444997538826	772
129	614.4729110861064	789
130	619.00401233752	722
131	623.5378035081231	692
132	628.0742845979161	720
133	632.6134556068988	731
134	637.1553165350712	779
135	641.6998673824332	768
136	646.2471081489851	745
137	650.7970388347267	724
138	655.3496594396579	736
139	659.9049699637789	753
140	664.4629704070896	783
141	669.0236607695902	768
142	673.5870410512803	758
143	678.1531112521601	736
144	682.7218713722297	757
145	687.2933214114889	726
146	691.867461369938	761
147	696.4442912475768	783
148	701.0238110444052	769
149	705.6060207604233	750
150	710.1909203956312	794
151	714.7785099500288	772
152	719.3687894236161	734
153	723.9617588163932	761
154	728.5574181283599	790
155	733.1557673595164	762
156	737.7568065098626	749
157	742.3605355793985	768
158	746.9669545681242	738
159	751.5760634760395	756
160	756.1878623031445	806
161	760.8023510494393	778
162	765.4195297149238	749
163	770.039398299598	766
164	774.661956803462	854
165	779.2872052265157	777
166	783.9151435687589	829
167	788.5457718301922	822
168	793.179090010815	777
169	797.8150981106276	868
170	802.4537961296297	844
