Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.89
Upper Discriminator:	1043
Lower Discriminator:	11
Calibration Coefficients:	-2.944532488114106	0.9984152139461173
Calibration Channels:	106	177
Calibration Energies:	511.0	835.0
Elapsed Real Time:	329.94
Elapsed Live Time:	327.64
Start Time:	February 10, 2015, 03:28:51
End Time:	February 10, 2015, 03:34:16
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-2.944532488114106	0
1	-1.9461172741679889	0
2	-0.9477020602218715	0
3	0.050713153724245785	0
4	1.049128367670363	0
5	2.0475435816164804	0
6	3.0459587955625977	0
7	4.044374009508715	0
8	5.042789223454832	0
9	6.04120443740095	0
10	7.039619651347067	2
11	8.038034865293184	1
12	9.036450079239302	0
13	10.034865293185419	0
14	11.033280507131536	1
15	12.031695721077654	139
16	13.030110935023771	260
17	14.028526148969888	280
18	15.026941362916006	288
19	16.025356576862123	289
20	17.02377179080824	317
21	18.022187004754358	320
22	19.020602218700475	334
23	20.019017432646592	372
24	21.01743264659271	422
25	22.015847860538827	487
26	23.014263074484944	702
27	24.01267828843106	928
28	25.01109350237718	1176
29	26.009508716323296	1606
30	27.007923930269413	2007
31	28.00633914421553	2238
32	29.004754358161648	2349
33	30.003169572107765	2343
34	31.001584786053883	2030
35	32.0	1820
36	32.99841521394612	1435
37	33.996830427892235	1180
38	34.99524564183835	887
39	35.99366085578447	786
40	36.99207606973059	679
41	37.990491283676704	598
42	38.98890649762282	514
43	39.98732171156894	448
44	40.985736925515056	442
45	41.98415213946117	385
46	42.98256735340729	377
47	43.98098256735341	376
48	44.979397781299525	329
49	45.97781299524564	299
50	46.97622820919176	295
51	47.97464342313788	325
52	48.973058637083994	301
53	49.97147385103011	308
54	50.96988906497623	311
55	51.968304278922346	293
56	52.966719492868464	292
57	53.96513470681458	311
58	54.9635499207607	319
59	55.961965134706816	279
60	56.96038034865293	306
61	57.95879556259905	302
62	58.95721077654517	329
63	59.955625990491285	338
64	60.9540412044374	298
65	61.95245641838352	323
66	62.95087163232964	325
67	63.949286846275754	361
68	64.94770206022187	415
69	65.94611727416799	454
70	66.9445324881141	487
71	67.94294770206022	555
72	68.94136291600634	586
73	69.93977812995246	642
74	70.93819334389858	740
75	71.93660855784469	791
76	72.93502377179081	882
77	73.93343898573693	958
78	74.93185419968304	1042
79	75.93026941362916	1010
80	76.92868462757528	1097
81	77.9270998415214	1019
82	78.92551505546751	1047
83	79.92393026941363	996
84	80.92234548335975	907
85	81.92076069730587	895
86	82.91917591125198	809
87	83.9175911251981	751
88	84.91600633914422	705
89	85.91442155309034	675
90	86.91283676703645	605
91	87.91125198098257	565
92	88.90966719492869	574
93	89.9080824088748	527
94	90.90649762282092	498
95	91.90491283676704	481
96	92.90332805071316	433
97	93.90174326465927	383
98	94.90015847860539	403
99	95.89857369255151	304
100	96.89698890649763	343
101	97.89540412044374	302
102	98.89381933438986	282
103	99.89223454833598	271
104	100.8906497622821	269
105	101.88906497622821	245
106	102.88748019017433	232
107	103.88589540412045	227
108	104.88431061806656	234
109	105.88272583201268	251
110	106.8811410459588	251
111	107.87955625990492	229
112	108.87797147385103	219
113	109.87638668779715	223
114	110.87480190174327	252
115	111.87321711568939	244
116	112.8716323296355	267
117	113.87004754358162	246
118	114.86846275752774	237
119	115.86687797147385	232
120	116.86529318541997	249
121	117.86370839936609	229
122	118.8621236133122	231
123	119.86053882725832	231
124	120.85895404120444	226
125	121.85736925515056	231
126	122.85578446909668	241
127	123.8541996830428	223
128	124.85261489698891	267
129	125.85103011093503	242
130	126.84944532488115	236
131	127.84786053882726	227
132	128.84627575277338	245
133	129.8446909667195	248
134	130.84310618066561	227
135	131.84152139461173	229
136	132.83993660855785	276
137	133.83835182250397	235
138	134.83676703645008	257
139	135.8351822503962	265
140	136.83359746434232	232
141	137.83201267828844	243
