Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.40
Upper Discriminator:	2861
Lower Discriminator:	53
Calibration Coefficients:	1.8603266733655454E-4	2.5180265654667426	18.091342039745996
Calibration Channels:	193	317	482
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	130.24
Elapsed Live Time:	129.93
Start Time:	February 12, 2015, 03:50:13
End Time:	February 12, 2015, 03:52:24
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	768	1008	3	3	0	2159

Channel Data:
Channel	Energy	Counts
0	18.091342039745996	0
1	20.609554637880073	0
2	23.128139301348828	0
3	25.64709603015225	0
4	28.166424824290353	0
5	30.686125683763123	0
6	33.20619860857057	0
7	35.726643598712684	0
8	38.24746065418948	0
9	40.76864977500094	0
10	43.29021096114708	0
11	45.812144212627885	0
12	48.334449529443376	0
13	50.857126911593525	0
14	53.38017635907836	0
15	55.903597871897865	177
16	58.427391450052035	242
17	60.951557093540885	261
18	63.4760948023644	270
19	66.0010045765226	267
20	68.52628641601547	248
21	71.05194032084302	280
22	73.57796629100523	270
23	76.10436432650212	271
24	78.63113442733368	272
25	81.1582765934999	305
26	83.68579082500081	309
27	86.21367712183638	317
28	88.74193548400666	330
29	91.27056591151158	311
30	93.79956840435118	304
31	96.32894296252545	257
32	98.85868958603439	245
33	101.388808274878	204
34	103.9192990290563	182
35	106.45016184856927	199
36	108.9813967334169	183
37	111.51300368359922	170
38	114.0449826991162	164
39	116.57733377996786	136
40	119.11005692615419	155
41	121.64315213767519	142
42	124.17661941453086	147
43	126.71045875672121	155
44	129.24467016424626	155
45	131.77925363710594	143
46	134.3142091753003	131
47	136.84953677882936	144
48	139.38523644769305	122
49	141.92130818189145	117
50	144.4577519814245	121
51	146.99456784629226	149
52	149.53175577649466	126
53	152.06931577203173	118
54	154.60724783290348	118
55	157.14555195910992	120
56	159.68422815065102	122
57	162.22327640752678	130
58	164.76269672973726	97
59	167.30248911728236	105
60	169.84265357016216	110
61	172.3831900883766	106
62	174.92409867192575	86
63	177.46537932080955	94
64	180.00703203502806	99
65	182.54905681458123	112
66	185.09145365946904	108
67	187.63422256969156	94
68	190.1773635452487	103
69	192.72087658614058	88
70	195.26476169236707	108
71	197.8090188639283	79
72	200.35364810082416	92
73	202.89864940305472	97
74	205.44402277061994	102
75	207.98976820351982	80
76	210.53588570175438	80
77	213.0823752653236	85
78	215.62923689422752	92
79	218.1764705884661	89
80	220.72407634803935	81
81	223.2720541729473	88
82	225.82040406318987	84
83	228.36912601876716	69
84	230.9182200396791	85
85	233.46768612592572	83
86	236.01752427750702	73
87	238.56773449442298	81
88	241.11831677667365	80
89	243.66927112425893	79
90	246.22059753717895	89
91	248.77229601543357	85
92	251.32436655902293	90
93	253.8768091679469	75
94	256.4296238422056	81
95	258.98281058179896	75
96	261.53636938672696	95
97	264.0903002569897	75
98	266.64460319258706	65
99	269.1992781935191	76
100	271.7543252597858	56
101	274.3097443913872	81
102	276.86553558832327	53
103	279.42169885059394	72
104	281.9782341781994	76
105	284.5351415711395	70
106	287.09242102941425	52
107	289.6500725530237	65
108	292.20809614196776	74
109	294.76649179624656	71
110	297.32525951586	80
111	299.8843993008081	80
112	302.44391115109096	57
113	305.00379506670834	69
114	307.56405104766054	75
115	310.12467909394735	61
116	312.6856792055688	62
117	315.24705138252494	75
118	317.8087956248158	66
119	320.37091193244135	60
120	322.9334003054015	72
121	325.4962607436964	67
122	328.05949324732586	62
123	330.62309781629006	47
124	333.18707445058897	62
125	335.75142315022254	61
126	338.3161439151907	65
127	340.8812367454936	62
128	343.44670164113114	52
129	346.0125386021034	57
130	348.5787476284103	55
131	351.14532872005185	46
132	353.71228187702815	51
133	356.2796070993391	58
134	358.8473043869847	56
135	361.41537373996493	62
136	363.98381515827987	55
137	366.5526286419295	61
138	369.1218141909138	51
139	371.6913718052328	57
140	374.2613014848864	52
141	376.83160322987476	55
142	379.40227704019776	55
143	381.9733229158554	67
144	384.5447408568477	55
145	387.1165308631747	55
146	389.6886929348364	50
147	392.26122707183276	67
148	394.83413327416383	59
149	397.40741154182945	51
150	399.98106187482983	51
151	402.55508427316494	50
152	405.12947873683464	49
153	407.70424526583906	65
154	410.2793838601781	70
155	412.8548945198518	59
156	415.4307772448602	58
157	418.00703203520334	38
158	420.58365889088105	44
159	423.1606578118935	39
160	425.73802879824063	57
161	428.3157718499224	56
162	430.89388696693885	44
163	433.4723741492899	44
164	436.05123339697576	49
165	438.63046470999626	41
166	441.21006808835136	54
167	443.7900435320412	57
168	446.37039104106566	56
169	448.95111061542485	53
170	451.5322022551187	53
171	454.1136659601472	48
172	456.69550173051033	57
173	459.2777095662082	54
174	461.86028946724076	60
175	464.44324143360797	52
176	467.02656546530983	46
177	469.61026156234635	60
178	472.1943297247176	72
179	474.7787699524235	43
180	477.36358224546404	44
181	479.94876660383926	57
182	482.5343230275492	40
183	485.1202515165938	45
184	487.70655207097303	51
185	490.293224690687	47
186	492.88026937573557	49
187	495.46768612611885	61
188	498.0554749418368	37
189	500.64363582288945	63
190	503.2321687692767	69
191	505.8210737809987	47
192	508.4103508580553	38
193	511.0000000004467	46
194	513.5900212081726	55
195	516.1804144812334	36
196	518.7711798196286	54
197	521.3623172233587	53
198	523.9538266924233	61
199	526.5457082268226	41
200	529.1379618265566	51
201	531.7305874916254	50
202	534.3235852220288	50
203	536.9169550177669	52
204	539.5106968788396	47
205	542.104810805247	46
206	544.699296796989	46
207	547.2941548540657	65
208	549.8893849764771	50
209	552.4849871642233	48
210	555.080961417304	59
211	557.6773077357194	46
212	560.2740261194696	51
213	562.8711165685543	50
214	565.4685790829739	41
215	568.0664136627279	38
216	570.6646203078167	42
217	573.2631990182402	38
218	575.8621497939982	39
219	578.4614726350911	51
220	581.0611675415187	27
221	583.6612345132808	41
222	586.2616735503776	34
223	588.8624846528091	36
224	591.4636678205753	49
225	594.0652230536762	37
226	596.6671503521117	45
227	599.2694497158819	43
228	601.8721211449867	50
229	604.4751646394262	51
230	607.0785801992006	45
231	609.6823678243094	47
232	612.2865275147531	41
233	614.8910592705313	38
234	617.4959630916441	37
235	620.1012389780917	36
236	622.706886929874	39
237	625.312906946991	42
238	627.9192990294425	40
239	630.5260631772288	39
240	633.1331993903498	35
241	635.7407076688054	42
242	638.3485880125958	50
243	640.9568404217207	46
244	643.5654648961803	48
245	646.1744614359746	30
246	648.7838300411036	54
247	651.3935707115672	57
248	654.0036834473657	47
249	656.6141682484986	41
250	659.2250251149663	49
251	661.8362540467687	31
252	664.4478550439056	44
253	667.0598281063774	37
254	669.6721732341838	50
255	672.2848904273249	44
256	674.8979796858006	40
257	677.5114410096108	42
258	680.125274398756	39
259	682.7394798532357	34
260	685.3540573730502	45
261	687.9690069581993	40
262	690.584328608683	39
263	693.2000223245014	32
264	695.8160881056546	50
265	698.4325259521424	35
266	701.0493358639648	41
267	703.6665178411218	36
268	706.2840718836137	42
269	708.9019979914402	35
270	711.5202961646013	43
271	714.1389664030971	38
272	716.7580087069276	46
273	719.3774230760929	36
274	721.9972095105926	35
