Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.90
Upper Discriminator:	1056
Lower Discriminator:	12
Calibration Coefficients:	-1.3173076923076934	1.0096153846153846
Calibration Channels:	195	319
Calibration Energies:	511.0	835.0
Elapsed Real Time:	413.46
Elapsed Live Time:	409.09
Start Time:	February 16, 2015, 03:18:17
End Time:	February 16, 2015, 03:25:11
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	574	714	99860	91540	57	654

Channel Data:
Channel	Energy	Counts
0	-1.3173076923076934	0
1	-0.3076923076923088	0
2	0.7019230769230758	0
3	1.7115384615384603	0
4	2.721153846153845	0
5	3.73076923076923	0
6	4.740384615384614	0
7	5.749999999999998	0
8	6.759615384615383	1
9	7.769230769230768	1
10	8.778846153846153	2
11	9.788461538461537	1
12	10.798076923076922	3
13	11.807692307692307	1
14	12.81730769230769	0
15	13.826923076923075	336
16	14.83653846153846	456
17	15.846153846153843	517
18	16.85576923076923	515
19	17.865384615384613	537
20	18.875	532
21	19.884615384615383	568
22	20.894230769230766	561
23	21.903846153846153	650
24	22.913461538461537	718
25	23.92307692307692	996
26	24.932692307692307	1398
27	25.94230769230769	1882
28	26.951923076923073	2567
29	27.96153846153846	3431
30	28.971153846153843	4208
31	29.98076923076923	4749
32	30.990384615384613	4788
33	32.0	4498
34	33.00961538461538	4005
35	34.01923076923077	3518
36	35.02884615384615	2810
37	36.03846153846153	2171
38	37.04807692307692	1805
39	38.05769230769231	1506
40	39.06730769230769	1208
41	40.07692307692307	1082
42	41.08653846153846	954
43	42.09615384615385	791
44	43.105769230769226	723
45	44.11538461538461	661
46	45.125	614
47	46.13461538461538	629
48	47.14423076923077	615
49	48.15384615384615	621
50	49.16346153846153	575
51	50.17307692307692	552
52	51.18269230769231	541
53	52.192307692307686	516
54	53.20192307692307	573
55	54.21153846153846	497
56	55.22115384615384	541
57	56.230769230769226	528
58	57.24038461538461	524
59	58.25	520
60	59.25961538461538	541
61	60.26923076923077	504
62	61.27884615384615	536
63	62.28846153846153	581
64	63.29807692307692	606
65	64.3076923076923	566
66	65.3173076923077	652
67	66.32692307692308	683
68	67.33653846153845	724
69	68.34615384615384	837
70	69.35576923076923	920
71	70.36538461538461	941
72	71.375	1045
73	72.38461538461539	1194
74	73.39423076923076	1352
75	74.40384615384615	1502
76	75.41346153846153	1573
77	76.42307692307692	1753
78	77.4326923076923	1786
79	78.4423076923077	1869
80	79.45192307692308	1827
81	80.46153846153845	1760
82	81.47115384615384	1720
83	82.48076923076923	1609
84	83.49038461538461	1446
85	84.5	1344
86	85.50961538461539	1313
87	86.51923076923076	1222
88	87.52884615384615	1205
89	88.53846153846153	1129
90	89.54807692307692	1040
91	90.5576923076923	954
92	91.5673076923077	948
93	92.57692307692307	939
94	93.58653846153845	885
95	94.59615384615384	768
96	95.60576923076923	669
97	96.61538461538461	687
98	97.625	626
99	98.63461538461539	607
100	99.64423076923076	532
101	100.65384615384615	514
102	101.66346153846153	486
103	102.67307692307692	471
104	103.6826923076923	469
105	104.6923076923077	430
106	105.70192307692307	479
107	106.71153846153845	467
108	107.72115384615384	454
109	108.73076923076923	419
110	109.74038461538461	432
111	110.75	431
112	111.75961538461537	395
113	112.76923076923076	415
114	113.77884615384615	453
115	114.78846153846153	443
116	115.79807692307692	438
117	116.8076923076923	451
118	117.8173076923077	431
119	118.82692307692307	456
120	119.83653846153845	396
121	120.84615384615384	444
122	121.85576923076923	455
123	122.86538461538461	423
124	123.875	419
125	124.88461538461537	437
126	125.89423076923076	396
127	126.90384615384615	448
128	127.91346153846153	466
129	128.9230769230769	432
130	129.93269230769232	453
131	130.94230769230768	440
132	131.9519230769231	436
133	132.96153846153845	465
134	133.97115384615387	449
135	134.98076923076923	426
136	135.99038461538458	460
137	137.0	454
138	138.00961538461536	434
139	139.01923076923077	428
140	140.02884615384613	443
141	141.03846153846155	469
142	142.0480769230769	445
143	143.05769230769232	408
144	144.06730769230768	460
145	145.0769230769231	477
146	146.08653846153845	452
147	147.09615384615387	414
148	148.10576923076923	435
149	149.11538461538458	467
150	150.125	480
151	151.13461538461536	455
152	152.14423076923077	458
153	153.15384615384613	443
154	154.16346153846155	486
155	155.1730769230769	432
156	156.18269230769232	426
157	157.19230769230768	468
158	158.2019230769231	463
159	159.21153846153845	463
160	160.22115384615387	490
161	161.23076923076923	463
162	162.24038461538458	500
163	163.25	472
164	164.25961538461536	423
165	165.26923076923077	437
166	166.27884615384613	485
167	167.28846153846155	466
168	168.2980769230769	515
169	169.30769230769232	450
170	170.31730769230768	496
171	171.3269230769231	502
172	172.33653846153845	547
173	173.3461538461538	487
174	174.35576923076923	507
175	175.36538461538458	535
176	176.375	478
177	177.38461538461536	550
178	178.39423076923077	498
179	179.40384615384613	508
180	180.41346153846155	541
181	181.4230769230769	533
182	182.43269230769232	561
183	183.44230769230768	503
184	184.4519230769231	568
185	185.46153846153845	565
186	186.4711538461538	543
187	187.48076923076923	600
188	188.49038461538458	573
189	189.5	609
190	190.50961538461536	590
191	191.51923076923077	592
192	192.52884615384613	632
193	193.53846153846155	595
194	194.5480769230769	520
195	195.55769230769232	608
196	196.56730769230768	613
197	197.5769230769231	657
198	198.58653846153845	643
199	199.5961538461538	599
200	200.60576923076923	670
201	201.61538461538458	659
202	202.625	656
203	203.63461538461536	627
204	204.64423076923077	681
205	205.65384615384613	653
206	206.66346153846155	648
207	207.6730769230769	661
208	208.68269230769232	675
209	209.69230769230768	727
210	210.7019230769231	647
211	211.71153846153845	732
212	212.7211538461538	708
213	213.73076923076923	715
214	214.74038461538458	709
215	215.75	686
216	216.75961538461536	696
217	217.76923076923077	700
218	218.77884615384613	683
219	219.78846153846155	660
220	220.7980769230769	660
221	221.80769230769232	690
222	222.81730769230768	685
223	223.8269230769231	675
224	224.83653846153845	728
225	225.8461538461538	676
226	226.85576923076923	731
227	227.86538461538458	686
228	228.875	736
229	229.88461538461536	699
230	230.89423076923077	637
231	231.90384615384613	662
232	232.91346153846155	660
233	233.9230769230769	701
234	234.93269230769232	696
235	235.94230769230768	714
236	236.9519230769231	712
237	237.96153846153845	690
238	238.9711538461538	680
239	239.98076923076923	673
240	240.99038461538458	657
241	242.0	664
242	243.00961538461536	665
243	244.01923076923077	674
244	245.02884615384613	702
245	246.03846153846155	662
246	247.0480769230769	687
247	248.05769230769232	631
248	249.06730769230768	668
249	250.0769230769231	695
250	251.08653846153845	688
251	252.0961538461538	679
252	253.10576923076923	652
253	254.11538461538458	640
254	255.125	614
255	256.1346153846154	622
256	257.1442307692308	679
257	258.15384615384613	589
258	259.16346153846155	570
259	260.1730769230769	679
260	261.1826923076923	629
261	262.1923076923077	640
262	263.2019230769231	633
263	264.21153846153845	626
264	265.22115384615387	630
265	266.2307692307692	609
266	267.24038461538464	581
267	268.25	636
268	269.2596153846154	636
269	270.2692307692308	627
270	271.27884615384613	606
271	272.28846153846155	569
272	273.2980769230769	581
273	274.3076923076923	612
274	275.3173076923077	577
275	276.3269230769231	631
276	277.33653846153845	542
277	278.34615384615387	611
278	279.3557692307692	572
279	280.36538461538464	582
280	281.375	560
281	282.3846153846154	560
282	283.3942307692308	554
283	284.40384615384613	553
284	285.41346153846155	576
285	286.4230769230769	554
286	287.4326923076923	584
287	288.4423076923077	565
288	289.4519230769231	554
289	290.46153846153845	538
290	291.47115384615387	537
291	292.4807692307692	552
292	293.49038461538464	511
293	294.5	540
294	295.5096153846154	500
295	296.5192307692308	542
296	297.52884615384613	498
297	298.53846153846155	522
298	299.5480769230769	529
299	300.5576923076923	541
300	301.5673076923077	467
301	302.5769230769231	510
302	303.58653846153845	546
303	304.59615384615387	491
304	305.6057692307692	500
305	306.61538461538464	510
306	307.625	508
307	308.6346153846154	481
308	309.6442307692308	477
309	310.65384615384613	549
310	311.66346153846155	500
311	312.6730769230769	496
312	313.6826923076923	478
313	314.6923076923077	502
314	315.7019230769231	483
315	316.71153846153845	483
316	317.72115384615387	462
317	318.7307692307692	470
318	319.74038461538464	446
319	320.75	498
320	321.7596153846154	501
321	322.7692307692308	466
322	323.77884615384613	480
323	324.78846153846155	471
324	325.7980769230769	517
325	326.8076923076923	434
326	327.8173076923077	501
327	328.8269230769231	467
328	329.83653846153845	470
329	330.84615384615387	409
330	331.8557692307692	498
331	332.86538461538464	448
332	333.875	444
333	334.88461538461536	459
334	335.8942307692308	425
335	336.90384615384613	467
336	337.91346153846155	472
337	338.9230769230769	474
338	339.9326923076923	426
339	340.9423076923077	434
340	341.9519230769231	450
341	342.96153846153845	486
342	343.97115384615387	454
343	344.9807692307692	441
344	345.99038461538464	421
345	347.0	418
346	348.00961538461536	442
347	349.0192307692308	477
348	350.02884615384613	456
349	351.03846153846155	469
350	352.0480769230769	438
351	353.0576923076923	441
352	354.0673076923077	451
353	355.0769230769231	423
354	356.08653846153845	452
355	357.09615384615387	428
356	358.1057692307692	442
357	359.11538461538464	398
358	360.125	440
359	361.13461538461536	478
360	362.1442307692308	456
361	363.15384615384613	451
362	364.16346153846155	446
363	365.1730769230769	450
364	366.1826923076923	412
365	367.1923076923077	457
366	368.2019230769231	463
367	369.21153846153845	412
368	370.22115384615387	448
369	371.2307692307692	430
370	372.24038461538464	419
371	373.25	438
372	374.25961538461536	429
373	375.2692307692308	442
374	376.27884615384613	406
375	377.28846153846155	416
376	378.2980769230769	414
377	379.3076923076923	411
378	380.3173076923077	457
379	381.3269230769231	406
380	382.33653846153845	421
381	383.34615384615387	403
382	384.3557692307692	429
383	385.36538461538464	445
384	386.375	435
385	387.38461538461536	417
386	388.3942307692308	402
387	389.40384615384613	406
388	390.41346153846155	419
389	391.4230769230769	400
390	392.4326923076923	408
391	393.4423076923077	427
392	394.4519230769231	455
393	395.46153846153845	425
394	396.47115384615387	399
