Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.89
Upper Discriminator:	1042
Lower Discriminator:	12
Calibration Coefficients:	-1.892405063291136	0.9968354430379747
Calibration Channels:	195	319
Calibration Energies:	511.0	835.0
Elapsed Real Time:	510.98
Elapsed Live Time:	472.15
Start Time:	February 17, 2015, 02:26:14
End Time:	February 17, 2015, 02:34:45
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-1.892405063291136	0
1	-0.8955696202531613	0
2	0.10126582278481333	0
3	1.098101265822788	0
4	2.0949367088607627	1
5	3.0917721518987378	0
6	4.088607594936712	4
7	5.085443037974686	15
8	6.082278481012661	23
9	7.079113924050636	31
10	8.075949367088612	43
11	9.072784810126585	73
12	10.06962025316456	78
13	11.066455696202535	96
14	12.063291139240508	157
15	13.060126582278484	1522
16	14.056962025316459	1687
17	15.053797468354432	1588
18	16.05063291139241	1527
19	17.047468354430382	1491
20	18.04430379746836	1526
21	19.041139240506332	1523
22	20.037974683544306	1614
23	21.034810126582283	1623
24	22.031645569620256	1676
25	23.02848101265823	1662
26	24.025316455696206	1742
27	25.02215189873418	1904
28	26.018987341772153	1925
29	27.01582278481013	2026
30	28.012658227848103	2266
31	29.00949367088608	2340
32	30.006329113924053	2498
33	31.003164556962027	2527
34	32.0	2602
35	32.99683544303798	2698
36	33.993670886075954	2904
37	34.99050632911393	3008
38	35.9873417721519	3154
39	36.984177215189874	3447
40	37.981012658227854	3573
41	38.97784810126583	3742
42	39.9746835443038	4029
43	40.971518987341774	4079
44	41.96835443037975	4225
45	42.96518987341772	4240
46	43.9620253164557	4122
47	44.958860759493675	3900
48	45.95569620253165	3561
49	46.95253164556962	3252
50	47.949367088607595	2953
51	48.946202531645575	2786
52	49.94303797468355	2676
53	50.93987341772152	2489
54	51.936708860759495	2396
55	52.93354430379747	2481
56	53.93037974683544	2457
57	54.92721518987342	2391
58	55.924050632911396	2521
59	56.92088607594937	2652
60	57.91772151898734	2544
61	58.914556962025316	2674
62	59.911392405063296	2940
63	60.90822784810127	3144
64	61.90506329113924	3374
65	62.90189873417722	3774
66	63.89873417721519	4283
67	64.89556962025317	4895
68	65.89240506329114	6022
69	66.88924050632912	6889
70	67.8860759493671	8419
71	68.88291139240506	10048
72	69.87974683544304	12186
73	70.87658227848101	14844
74	71.87341772151899	17167
75	72.87025316455697	20124
76	73.86708860759494	22542
77	74.86392405063292	25026
78	75.86075949367088	27006
79	76.85759493670886	28755
80	77.85443037974684	29678
81	78.85126582278481	29714
82	79.84810126582279	29220
83	80.84493670886076	28676
84	81.84177215189874	27339
85	82.8386075949367	26214
86	83.83544303797468	25226
87	84.83227848101266	24017
88	85.82911392405063	23307
89	86.82594936708861	23125
90	87.82278481012658	22635
91	88.81962025316456	22318
92	89.81645569620254	21613
93	90.8132911392405	21471
94	91.81012658227849	20765
95	92.80696202531645	20111
96	93.80379746835443	19190
97	94.80063291139241	17866
98	95.79746835443038	16724
99	96.79430379746836	15272
100	97.79113924050633	14384
101	98.7879746835443	13170
102	99.78481012658229	12281
103	100.78164556962025	11324
104	101.77848101265823	10389
105	102.7753164556962	10171
106	103.77215189873418	9862
107	104.76898734177216	9726
108	105.76582278481013	10055
109	106.7626582278481	10416
110	107.75949367088607	11149
