Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.40
Upper Discriminator:	2861
Lower Discriminator:	53
Calibration Coefficients:	1.8603266733655454E-4	2.5180265654667426	18.091342039745996
Calibration Channels:	193	317	482
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	550.08
Elapsed Live Time:	540.88
Start Time:	February 12, 2015, 04:09:34
End Time:	February 12, 2015, 04:12:38
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	768	1008	38	38	0	2323

Channel Data:
Channel	Energy	Counts
0	18.091342039745996	0
1	20.609554637880073	0
2	23.128139301348828	0
3	25.64709603015225	0
4	28.166424824290353	0
5	30.686125683763123	2
6	33.20619860857057	0
7	35.726643598712684	2
8	38.24746065418948	10
9	40.76864977500094	5
10	43.29021096114708	1
11	45.812144212627885	6
12	48.334449529443376	5
13	50.857126911593525	8
14	53.38017635907836	22
15	55.903597871897865	2012
16	58.427391450052035	2760
17	60.951557093540885	2806
18	63.4760948023644	2802
19	66.0010045765226	2693
20	68.52628641601547	2871
21	71.05194032084302	2927
22	73.57796629100523	3193
23	76.10436432650212	3557
24	78.63113442733368	4154
25	81.1582765934999	5161
26	83.68579082500081	6381
27	86.21367712183638	7116
28	88.74193548400666	7374
29	91.27056591151158	6726
30	93.79956840435118	5789
31	96.32894296252545	5098
32	98.85868958603439	4588
33	101.388808274878	3928
34	103.9192990290563	3328
35	106.45016184856927	2974
36	108.9813967334169	2578
37	111.51300368359922	2439
38	114.0449826991162	2355
39	116.57733377996786	2317
40	119.11005692615419	2345
41	121.64315213767519	2336
42	124.17661941453086	2340
43	126.71045875672121	2311
44	129.24467016424626	2288
45	131.77925363710594	2418
46	134.3142091753003	2274
47	136.84953677882936	2427
48	139.38523644769305	2322
49	141.92130818189145	2384
50	144.4577519814245	2333
51	146.99456784629226	2376
52	149.53175577649466	2371
53	152.06931577203173	2409
54	154.60724783290348	2407
55	157.14555195910992	2375
56	159.68422815065102	2458
57	162.22327640752678	2424
58	164.76269672973726	2498
59	167.30248911728236	2384
60	169.84265357016216	2480
61	172.3831900883766	2574
62	174.92409867192575	2565
63	177.46537932080955	2564
64	180.00703203502806	2582
65	182.54905681458123	2700
66	185.09145365946904	2742
67	187.63422256969156	2776
68	190.1773635452487	2794
69	192.72087658614058	2950
70	195.26476169236707	3124
71	197.8090188639283	3114
72	200.35364810082416	3290
73	202.89864940305472	3276
74	205.44402277061994	3389
75	207.98976820351982	3443
76	210.53588570175438	3576
77	213.0823752653236	3772
78	215.62923689422752	3751
79	218.1764705884661	3653
80	220.72407634803935	3752
81	223.2720541729473	3838
82	225.82040406318987	3889
83	228.36912601876716	3834
84	230.9182200396791	3841
85	233.46768612592572	4047
86	236.01752427750702	3774
87	238.56773449442298	3890
88	241.11831677667365	3846
89	243.66927112425893	3880
90	246.22059753717895	3779
91	248.77229601543357	3832
92	251.32436655902293	3662
93	253.8768091679469	3595
94	256.4296238422056	3662
95	258.98281058179896	3455
96	261.53636938672696	3523
97	264.0903002569897	3392
98	266.64460319258706	3367
99	269.1992781935191	3356
100	271.7543252597858	3307
101	274.3097443913872	3233
102	276.86553558832327	3117
103	279.42169885059394	3151
104	281.9782341781994	3094
105	284.5351415711395	3073
106	287.09242102941425	2930
107	289.6500725530237	2910
108	292.20809614196776	2892
109	294.76649179624656	2847
110	297.32525951586	2811
111	299.8843993008081	2707
112	302.44391115109096	2759
113	305.00379506670834	2645
114	307.56405104766054	2620
115	310.12467909394735	2579
116	312.6856792055688	2638
117	315.24705138252494	2457
118	317.8087956248158	2475
119	320.37091193244135	2367
120	322.9334003054015	2451
121	325.4962607436964	2371
122	328.05949324732586	2334
123	330.62309781629006	2352
124	333.18707445058897	2256
125	335.75142315022254	2302
126	338.3161439151907	2326
127	340.8812367454936	2257
128	343.44670164113114	2238
129	346.0125386021034	2199
130	348.5787476284103	2104
131	351.14532872005185	2179
132	353.71228187702815	2177
133	356.2796070993391	2074
134	358.8473043869847	2048
135	361.41537373996493	2136
136	363.98381515827987	2066
137	366.5526286419295	2056
138	369.1218141909138	1988
139	371.6913718052328	2015
140	374.2613014848864	1987
141	376.83160322987476	1996
142	379.40227704019776	1972
143	381.9733229158554	1917
144	384.5447408568477	1908
145	387.1165308631747	2030
146	389.6886929348364	1989
147	392.26122707183276	1865
148	394.83413327416383	1867
149	397.40741154182945	1974
150	399.98106187482983	1844
151	402.55508427316494	1889
152	405.12947873683464	1853
153	407.70424526583906	1901
154	410.2793838601781	1873
155	412.8548945198518	1821
156	415.4307772448602	1920
157	418.00703203520334	1988
158	420.58365889088105	1967
159	423.1606578118935	1860
160	425.73802879824063	1866
161	428.3157718499224	1908
162	430.89388696693885	1825
163	433.4723741492899	1935
164	436.05123339697576	1872
165	438.63046470999626	1893
166	441.21006808835136	1832
167	443.7900435320412	1841
168	446.37039104106566	1891
169	448.95111061542485	1921
170	451.5322022551187	1859
171	454.1136659601472	1759
172	456.69550173051033	1827
173	459.2777095662082	1733
174	461.86028946724076	1772
175	464.44324143360797	1792
176	467.02656546530983	1652
177	469.61026156234635	1675
178	472.1943297247176	1636
179	474.7787699524235	1702
180	477.36358224546404	1619
181	479.94876660383926	1598
182	482.5343230275492	1584
183	485.1202515165938	1566
184	487.70655207097303	1583
185	490.293224690687	1572
186	492.88026937573557	1584
187	495.46768612611885	1620
188	498.0554749418368	1650
189	500.64363582288945	1664
190	503.2321687692767	1704
191	505.8210737809987	1738
192	508.4103508580553	1701
193	511.0000000004467	1694
194	513.5900212081726	1771
195	516.1804144812334	1673
196	518.7711798196286	1689
197	521.3623172233587	1680
198	523.9538266924233	1646
199	526.5457082268226	1572
200	529.1379618265566	1476
201	531.7305874916254	1456
202	534.3235852220288	1327
203	536.9169550177669	1298
204	539.5106968788396	1252
205	542.104810805247	1214
206	544.699296796989	1112
207	547.2941548540657	1021
208	549.8893849764771	1062
209	552.4849871642233	1029
210	555.080961417304	994
211	557.6773077357194	966
212	560.2740261194696	964
213	562.8711165685543	924
214	565.4685790829739	962
215	568.0664136627279	921
216	570.6646203078167	979
217	573.2631990182402	962
218	575.8621497939982	919
219	578.4614726350911	964
220	581.0611675415187	1083
221	583.6612345132808	978
222	586.2616735503776	1086
223	588.8624846528091	1171
224	591.4636678205753	1250
225	594.0652230536762	1254
226	596.6671503521117	1333
227	599.2694497158819	1318
228	601.8721211449867	1470
229	604.4751646394262	1504
230	607.0785801992006	1669
231	609.6823678243094	1660
232	612.2865275147531	1852
233	614.8910592705313	1910
234	617.4959630916441	2072
235	620.1012389780917	2143
236	622.706886929874	2413
237	625.312906946991	2565
238	627.9192990294425	2761
239	630.5260631772288	3004
240	633.1331993903498	3270
241	635.7407076688054	3499
242	638.3485880125958	3770
243	640.9568404217207	4053
244	643.5654648961803	4303
245	646.1744614359746	4439
246	648.7838300411036	4899
247	651.3935707115672	5046
248	654.0036834473657	5171
249	656.6141682484986	5266
250	659.2250251149663	5331
251	661.8362540467687	5497
252	664.4478550439056	5467
253	667.0598281063774	5343
254	669.6721732341838	5321
255	672.2848904273249	5021
