Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	900
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.40
Upper Discriminator:	2855
Lower Discriminator:	48
Calibration Coefficients:	1.8603266733625658E-4	2.5172824347933647	13.056033038924603
Calibration Channels:	195	319	484
Calibration Energies:	511.0	835.0	1275.0
Elapsed Real Time:	569.29
Elapsed Live Time:	565.14
Start Time:	February 16, 2015, 02:51:36
End Time:	February 16, 2015, 03:01:05
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	13.056033038924603	0
1	15.573501506385304	0
2	18.091342039180677	0
3	20.609554637310723	0
4	23.128139300775445	0
5	25.647096029574833	0
6	28.166424823708894	0
7	30.686125683177632	0
8	33.20619860798104	2
9	35.726643598119125	0
10	38.24746065359187	1
11	40.7686497743993	1
12	43.2902109605414	1
13	45.81214421201817	1
14	48.334449528829616	7
15	50.85712691097573	1023
16	53.38017635845652	1361
17	55.903597871271984	1306
18	58.42739144942212	1249
19	60.951557092906924	1358
20	63.476094801726404	1309
21	66.00100457588056	1413
22	68.52628641536937	1482
23	71.05194032019287	1734
24	73.57796629035104	2136
25	76.10436432584387	2730
26	78.6311344266714	3571
27	81.15827659283357	4054
28	83.68579082433044	4342
29	86.21367712116196	3941
30	88.74193548332818	3268
31	91.27056591082905	2865
32	93.79956840366461	2484
33	96.32894296183483	2143
34	98.8586895853397	1781
35	101.38880827417927	1516
36	103.91929902835352	1232
37	106.45016184786243	1193
38	108.98139673270603	1113
39	111.51300368288426	1111
40	114.0449826983972	1124
41	116.57733377924481	1114
42	119.11005692542707	1152
43	121.64315213694402	1142
44	124.17661941379563	1059
45	126.71045875598193	1100
46	129.2446701635029	1127
47	131.77925363635853	997
48	134.31420917454884	1109
49	136.84953677807383	1113
50	139.38523644693348	1052
51	141.9213081811278	1157
52	144.45775198065678	1179
53	146.99456784552046	1115
54	149.5317557757188	1151
55	152.06931577125184	1150
56	154.6072478321195	1137
57	157.14555195832187	1104
58	159.6842281498589	1131
59	162.2232764067306	1172
60	164.762696728937	1177
61	167.30248911647806	1180
62	169.84265356935379	1226
63	172.38319008756417	1217
64	174.92409867110925	1226
65	177.46537931998898	1207
66	180.00703203420338	1254
67	182.5490568137525	1320
68	185.09145365863625	1372
69	187.63422256885468	1320
70	190.17736354440777	1389
71	192.72087658529554	1399
72	195.264761691518	1511
73	197.80901886307512	1537
74	200.3536480999669	1523
75	202.8986494021934	1605
76	205.44402276975453	1674
77	207.98976820265034	1597
78	210.5358857008808	1655
79	213.082375264446	1756
80	215.62923689334582	1682
81	218.1764705875803	1785
82	220.7240763471495	1796
83	223.27205417205334	1774
84	225.82040406229186	1764
85	228.36912601786506	1805
86	230.91822003877292	1835
87	233.46768612501546	1801
88	236.01752427659264	1859
89	238.56773449350453	1804
90	241.1183167757511	1802
91	243.66927112333232	1829
92	246.22059753624822	1866
93	248.7722960144988	1815
94	251.32436655808405	1865
95	253.87680916700396	1790
96	256.42962384125855	1684
97	258.98281058084785	1758
98	261.53636938577176	1690
99	264.09030025603033	1657
100	266.6446031916237	1666
101	269.1992781925516	1633
102	271.7543252588143	1622
103	274.30974439041154	1619
104	276.86553558734346	1587
105	279.42169884961015	1613
106	281.97823417721145	1544
107	284.5351415701474	1555
108	287.09242102841813	1581
109	289.6500725520234	1489
110	292.20809614096345	1440
111	294.76649179523815	1432
112	297.32525951484746	1451
113	299.88439929979154	1452
114	302.44391115007016	1427
115	305.00379506568356	1314
116	307.5640510466316	1384
117	310.1246790929143	1277
118	312.68567920453165	1253
119	315.24705138148374	1244
120	317.8087956237705	1314
121	320.37091193139184	1239
122	322.93340030434797	1300
123	325.4962607426387	1187
124	328.05949324626414	1141
125	330.62309781522424	1126
126	333.18707444951895	1186
127	335.7514231491484	1110
128	338.3161439141125	1156
129	340.8812367444113	1110
130	343.4467016400448	1142
131	346.01253860101286	1050
132	348.5787476273157	1065
133	351.1453287189532	1064
134	353.7122818759253	1060
135	356.27960709823213	1088
136	358.84730438587366	1001
137	361.4153737388498	1042
138	363.9838151571606	1059
139	366.5526286408061	1029
140	369.1218141897863	1001
141	371.69137180410115	1007
142	374.2613014837507	963
143	376.8316032287349	942
144	379.4022770390538	966
145	381.9733229147073	953
146	384.54474085569547	941
147	387.1165308620184	993
148	389.68869293367595	915
149	392.2612270706682	970
150	394.8341332729951	977
151	397.40741154065665	990
152	399.98106187365295	918
153	402.55508427198384	843
154	405.1294787356494	899
155	407.7042452646497	903
156	410.27938385898466	884
157	412.85489451865425	901
158	415.43077724365855	848
159	418.0070320339975	875
160	420.58365888967114	880
161	423.1606578106794	918
162	425.7380287970224	880
163	428.3157718487001	860
164	430.8938869657124	886
165	433.4723741480594	863
166	436.05123339574106	830
167	438.63046470875736	835
168	441.21006808710837	839
169	443.7900435307941	900
170	446.3703910398144	903
171	448.9511106141694	937
172	451.53220225385917	819
173	454.11366595888353	815
174	456.6955017292426	832
175	459.2777095649363	807
176	461.8602894659647	819
177	464.4432414323278	773
178	467.0265654640255	731
179	469.6102615610579	740
180	472.19432972342497	729
181	474.7787699511267	748
182	477.3635822441631	725
183	479.94876660253425	704
184	482.53432302624003	683
185	485.1202515152804	762
186	487.7065520696556	695
187	490.2932246893654	719
188	492.88026937440986	751
189	495.467686124789	758
190	498.05547494050273	725
191	500.6436358215513	773
192	503.2321687679344	744
193	505.8210737796522	746
194	508.4103508567047	776
195	510.99999999909187	730
196	513.5900212068137	752
197	516.1804144798703	678
198	518.7711798182614	712
199	521.3623172219873	683
200	523.9538266910478	636
201	526.545708225443	646
202	529.137961825173	561
203	531.7305874902374	528
204	534.3235852206367	577
205	536.9169550163705	485
206	539.5106968774392	510
207	542.1048108038424	472
208	544.6992967955803	441
209	547.2941548526528	478
210	549.8893849750601	446
211	552.484987162802	419
212	555.0809614158786	409
213	557.6773077342899	468
214	560.2740261180359	413
215	562.8711165671165	410
216	565.4685790815317	420
217	568.0664136612817	402
218	570.6646203063664	440
219	573.2631990167857	469
220	575.8621497925398	489
221	578.4614726336283	506
222	581.0611675400517	492
223	583.6612345118097	522
224	586.2616735489023	553
225	588.8624846513296	571
226	591.4636678190917	650
227	594.0652230521883	639
228	596.6671503506197	634
229	599.2694497143858	714
230	601.8721211434864	774
231	604.4751646379218	861
232	607.078580197692	846
233	609.6823678227966	871
234	612.286527513236	974
235	614.8910592690102	983
236	617.4959630901188	1068
237	620.1012389765623	1175
238	622.7068869283404	1226
239	625.312906945453	1246
240	627.9192990279005	1422
241	630.5260631756827	1458
242	633.1331993887993	1521
243	635.7407076672508	1726
244	638.348588011037	1781
245	640.9568404201578	1918
246	643.5654648946132	2009
247	646.1744614344034	2081
248	648.7838300395282	2179
249	651.3935707099877	2324
250	654.0036834457818	2283
251	656.6141682469107	2272
252	659.2250251133742	2265
253	661.8362540451724	2216
254	664.4478550423053	2186
255	667.0598281047727	2249
256	669.6721732325749	2020
257	672.2848904257118	1990
